"hexcode","BioSpecID"
"#EEE0E5","AllEle 1"
"#878787","B 0"
"#7C7C7C","B 0.01"
"#727272","B 0.02"
"#686868","B 0.05"
"#5E5E5E","B 0.1"
"#545454","B 0.2"
"#494949","B 0.5"
"#3F3F3F","B 2"
"#353535","B 5"
"#2B2B2B","B 10"
"#212121","B 20"
"#171717","B 50"
"#0D0D0D","B 100"
"#BCD2EE","Ca 0"
"#A8C6E6","Ca 0.01"
"#94BBDF","Ca 0.02"
"#81B0D8","Ca 0.05"
"#6DA4D1","Ca 0.1"
"#5999C9","Ca 0.2"
"#468EC2","Ca 0.5"
"#3283BB","Ca 2"
"#1F78B4","Ca 5"
"#90EE90","Cu 0"
"#86E586","Cu 0.01"
"#7DDD7D","Cu 0.02"
"#74D574","Cu 0.05"
"#6BCD6B","Cu 0.1"
"#62C462","Cu 0.2"
"#59BC59","Cu 0.5"
"#4FB44F","Cu 2"
"#46AB46","Cu 5"
"#3DA33D","Cu 10"
"#349B34","Cu 20"
"#2B932B","Cu 50"
"#228B22","Cu 100"
"#90EE90","Cu 0 BCS 100"
"#90EE90","Cu 0 BCS 200"
"#90EE90","Cu 0 BCS 300"
"#90EE90","Cu 0 BCS 400"
"#90EE90","Cu 0 BCS 500"
"#F08080","Fe 0"
"#EA7777","Fe 0.01"
"#E56E6F","Fe 0.02"
"#E06567","Fe 0.05"
"#DA5D5F","Fe 0.1"
"#D55457","Fe 0.2"
"#D04B4F","Fe 0.5"
"#CA4247","Fe 2"
"#C53A3F","Fe 5"
"#C03137","Fe 10"
"#BA282F","Fe 20"
"#B51F27","Fe 50"
"#B0171F","Fe 100"
"#F08080","Fe 0 DiP 50"
"#F08080","Fe 0 DiP 100"
"#F08080","Fe 0 DiP 150"
"#CDC9C9","K 0.1"
"#B6B3B3","K 0.2"
"#9F9D9D","K 0.5"
"#888787","K 2"
"#717171","K 5"
"#5B5B5B","K 10"
"#E3A869","Mg 0.05"
"#D89B5E","Mg 0.1"
"#CC8F53","Mg 0.2"
"#C28248","Mg 0.5"
"#B6763E","Mg 2"
"#AB6A33","Mg 5"
"#A15D28","Mg 10"
"#95511D","Mg 20"
"#8B4513","Mg 50"
"#FFE1FF","Mn 0"
"#F2D3F6","Mn 0.01"
"#E6C5EE","Mn 0.02"
"#D9B8E5","Mn 0.05"
"#CDAADD","Mn 0.1"
"#C09CD4","Mn 0.2"
"#B48FCC","Mn 0.5"
"#A881C4","Mn 2"
"#9B73BB","Mn 5"
"#8F66B3","Mn 10"
"#8258AA","Mn 20"
"#764AA2","Mn 50"
"#6A3D9A","Mn 100"
"#40E0D0","Mo 0"
"#3AD8C9","Mo 0.01"
"#35D0C2","Mo 0.02"
"#30C8BC","Mo 0.05"
"#2AC0B5","Mo 0.1"
"#25B8AE","Mo 0.2"
"#20B0A8","Mo 0.5"
"#1AA8A1","Mo 2"
"#15A09A","Mo 5"
"#109893","Mo 10"
"#0A908D","Mo 20"
"#058886","Mo 50"
"#008080","Mo 100"
"#FFEC8B","Na 0"
"#FDE57F","Na 0.01"
"#FCDE73","Na 0.02"
"#FAD768","Na 0.05"
"#F9D05C","Na 0.1"
"#F7C951","Na 0.2"
"#F6C345","Na 0.5"
"#F5BC39","Na 2"
"#F3B52E","Na 5"
"#F2AE22","Na 10"
"#F0A717","Na 20"
"#EFA00B","Na 50"
"#EE9A00","Na 100"
"#CAE1FF","Zn 0"
"#BACFF5","Zn 2e-04"
"#AABEEB","Zn 0.01"
"#9BADE1","Zn 0.02"
"#8B9BD7","Zn 0.05"
"#7C8ACE","Zn 0.1"
"#6C79C4","Zn 0.2"
"#5D67BA","Zn 0.5"
"#4D56B0","Zn 2"
"#3E45A7","Zn 5"
"#2E339D","Zn 10"
"#1F2293","Zn 20"
"#0F1189","Zn 50"
"#000080","Zn 100"
